support_reason_id,user_id,title,content,status,created_at
1,1,부적절한 게시글 신고합니다,이 게시글에 욕설이 너무 많아요. 조치 부탁드립니다.,PENDING,2026-05-01 10:00:00
2,2,음란성 게시글 발견,커뮤니티 성격에 맞지 않는 음란한 이미지가 올라왔습니다.,PENDING,2026-05-02 11:30:00
3,3,광고 도배 신고,동일한 광고성 글이 계속 올라오고 있습니다.,DONE,2026-05-03 09:15:00
4,1,혐오 표현 사용자 신고,특정 집단에 대한 비하 발언을 서슴지 않는 사용자가 있습니다.,PENDING,2026-05-04 14:20:00
9,2,댓글 욕설 신고,제 댓글에 계속해서 인격 모독성 댓글을 다네요.,PENDING,2026-05-05 16:45:00
10,3,댓글 스팸 신고,댓글창이 광고로 도배되어 읽기가 힘듭니다.,DONE,2026-05-06 13:10:00
17,1,로그인 오류 문의,카카오 로그인이 자꾸 실패하는데 확인 가능할까요?,PENDING,2026-05-07 08:50:00
18,2,비밀번호 재설정 관련 문의,비밀번호 재설정 메일이 오지 않습니다.,PENDING,2026-05-07 15:05:00
19,3,앱 크래시 현상 제보,특정 화면에서 앱이 자꾸 종료됩니다. 로그 보낼게요.,DONE,2026-05-08 10:30:00
20,1,상담 결과 리포트 문의,어제 상담한 결과가 아직 리포트에 반영되지 않았어요.,PENDING,2026-05-08 11:20:00
21,2,포인트 지급 누락 문의,출석 체크를 했는데 포인트가 들어오지 않았습니다.,PENDING,2026-05-08 13:40:00
22,3,기능 제안합니다,챗봇 말투를 조금 더 다양하게 선택할 수 있으면 좋겠어요.,DONE,2026-05-08 14:55:00
1,2,도배글 신고,똑같은 글이 10개 넘게 올라와있어요.,PENDING,2026-05-08 15:10:00
17,3,결제 관련 문의,포인트 결제 후 반영이 안 됐어요.,PENDING,2026-05-08 15:30:00
